Team,Shots,Shot_on_Target,Corners,Fouls,Yellow_Card,Red_Card,Season
Arsenal,546.0,326.0,260.0,360.0,44.0,5.0,2013
Aston Villa,393.0,225.0,178.0,428.0,74.0,3.0,2013
Chelsea,569.0,336.0,240.0,371.0,52.0,3.0,2013
Everton,561.0,321.0,257.0,413.0,60.0,3.0,2013
Fulham,425.0,244.0,176.0,384.0,48.0,3.0,2013
Liverpool,669.0,385.0,285.0,372.0,54.0,2.0,2013
Man City,601.0,352.0,269.0,443.0,63.0,3.0,2013
Man United,512.0,299.0,218.0,361.0,57.0,1.0,2013
Newcastle,471.0,252.0,203.0,437.0,72.0,4.0,2013
Norwich,372.0,203.0,173.0,391.0,60.0,1.0,2013
QPR,465.0,245.0,170.0,384.0,59.0,3.0,2013
Reading,351.0,179.0,189.0,359.0,45.0,1.0,2013
Southampton,473.0,254.0,209.0,382.0,43.0,2.0,2013
Stoke,338.0,165.0,163.0,443.0,80.0,4.0,2013
Sunderland,378.0,221.0,179.0,427.0,62.0,3.0,2013
Swansea,460.0,262.0,194.0,387.0,58.0,2.0,2013
Tottenham,617.0,381.0,261.0,342.0,53.0,2.0,2013
West Brom,460.0,253.0,202.0,408.0,62.0,4.0,2013
West Ham,439.0,250.0,213.0,445.0,74.0,1.0,2013
Wigan,452.0,257.0,199.0,416.0,66.0,2.0,2013
Arsenal,524.0,210.0,211.0,348.0,53.0,4.0,2014
Aston Villa,430.0,134.0,163.0,484.0,78.0,0.0,2014
Cardiff,419.0,126.0,196.0,342.0,49.0,1.0,2014
Chelsea,693.0,228.0,249.0,420.0,56.0,3.0,2014
Crystal Palace,414.0,143.0,172.0,404.0,57.0,2.0,2014
Everton,560.0,195.0,251.0,365.0,54.0,1.0,2014
Fulham,431.0,149.0,194.0,383.0,57.0,1.0,2014
Hull,425.0,129.0,160.0,421.0,53.0,4.0,2014
Liverpool,650.0,259.0,224.0,410.0,54.0,1.0,2014
Man City,673.0,238.0,283.0,394.0,72.0,1.0,2014
Man United,525.0,181.0,216.0,399.0,66.0,3.0,2014
Newcastle,579.0,184.0,190.0,412.0,52.0,6.0,2014
Norwich,464.0,146.0,197.0,424.0,62.0,2.0,2014
Southampton,531.0,177.0,211.0,443.0,60.0,0.0,2014
Stoke,425.0,139.0,164.0,485.0,72.0,5.0,2014
Sunderland,490.0,137.0,188.0,444.0,68.0,7.0,2014
Swansea,494.0,163.0,223.0,373.0,55.0,3.0,2014
Tottenham,584.0,189.0,230.0,403.0,66.0,4.0,2014
West Brom,485.0,145.0,187.0,426.0,67.0,0.0,2014
West Ham,418.0,119.0,184.0,402.0,61.0,5.0,2014
Arsenal,612.0,228.0,254.0,377.0,68.0,2.0,2015
Aston Villa,414.0,127.0,171.0,400.0,70.0,7.0,2015
Burnley,429.0,125.0,170.0,406.0,64.0,2.0,2015
Chelsea,563.0,210.0,226.0,382.0,77.0,4.0,2015
Crystal Palace,438.0,139.0,209.0,527.0,63.0,4.0,2015
Everton,484.0,166.0,194.0,388.0,66.0,2.0,2015
Hull,429.0,131.0,169.0,451.0,71.0,6.0,2015
Leicester,457.0,137.0,211.0,457.0,49.0,4.0,2015
Liverpool,590.0,194.0,198.0,385.0,66.0,3.0,2015
Man City,668.0,228.0,273.0,445.0,77.0,2.0,2015
Man United,509.0,179.0,213.0,453.0,64.0,5.0,2015
Newcastle,467.0,143.0,222.0,433.0,66.0,7.0,2015
QPR,533.0,151.0,179.0,447.0,75.0,3.0,2015
Southampton,506.0,170.0,209.0,468.0,57.0,3.0,2015
Stoke,501.0,136.0,192.0,486.0,82.0,1.0,2015
Sunderland,404.0,129.0,185.0,435.0,94.0,2.0,2015
Swansea,422.0,147.0,151.0,398.0,48.0,5.0,2015
Tottenham,524.0,172.0,224.0,441.0,79.0,4.0,2015
West Brom,411.0,130.0,171.0,423.0,64.0,3.0,2015
West Ham,485.0,152.0,241.0,420.0,64.0,2.0,2015
Arsenal,572.0,210.0,227.0,350.0,39.0,4.0,2016
Aston Villa,368.0,111.0,167.0,431.0,75.0,3.0,2016
Bournemouth,463.0,144.0,221.0,362.0,52.0,1.0,2016
Chelsea,526.0,173.0,240.0,408.0,58.0,6.0,2016
Crystal Palace,466.0,152.0,219.0,465.0,60.0,1.0,2016
Everton,492.0,175.0,218.0,315.0,44.0,5.0,2016
Leicester,523.0,181.0,197.0,405.0,48.0,3.0,2016
Liverpool,629.0,203.0,265.0,422.0,61.0,3.0,2016
Man City,612.0,210.0,257.0,409.0,61.0,0.0,2016
Man United,430.0,143.0,228.0,472.0,65.0,1.0,2016
Newcastle,398.0,152.0,158.0,414.0,58.0,5.0,2016
Norwich,416.0,126.0,188.0,417.0,61.0,3.0,2016
Southampton,519.0,169.0,224.0,416.0,57.0,6.0,2016
Stoke,418.0,130.0,153.0,419.0,51.0,4.0,2016
Sunderland,439.0,143.0,160.0,396.0,62.0,2.0,2016
Swansea,442.0,136.0,163.0,392.0,62.0,1.0,2016
Tottenham,661.0,250.0,254.0,452.0,72.0,0.0,2016
Watford,445.0,136.0,166.0,460.0,74.0,3.0,2016
West Brom,384.0,106.0,188.0,392.0,63.0,3.0,2016
West Ham,556.0,184.0,224.0,381.0,56.0,5.0,2016
